date,price,open,high,low,volume,q
2016-12-29,260.01,259.02,260.04,258.62,48.69K,0.12%
2016-12-28,259.7,259.65,260.59,259.52,54.26K,-1.06%
2016-12-27,262.49,262.35,262.85,261.79,52.54K,0.23%
2016-12-26,261.9,261.83,262.27,261.36,45.26K,0.11%
2016-12-23,261.61,262.1,262.26,261.3,46.54K,-0.14%
2016-12-22,261.97,262.71,262.92,261.66,53.38K,-0.05%
2016-12-21,262.1,263.76,264.42,262.1,62.17K,-0.19%
2016-12-20,262.59,262.78,263.26,262.14,51.20K,0.25%
2016-12-19,261.93,262.03,263.22,261.86,46.96K,-0.24%
2016-12-16,262.56,261.59,262.91,261.16,60.48K,0.42%
2016-12-15,261.45,259.9,262.08,259.82,55.04K,-0.21%
2016-12-14,262,262.64,262.86,261.12,55.93K,0.14%
2016-12-13,261.63,260.38,261.72,260.08,77.99K,0.35%
2016-12-12,260.72,261.59,261.69,259.89,56.95K,-0.07%
2016-12-09,260.91,261.24,261.29,260.34,58.35K,-0.42%
2016-12-08,262,258.79,262,258.63,74.29K,2.21%
2016-12-07,256.34,256.57,257.05,255.96,54.70K,0.28%
2016-12-06,255.63,253.88,256.27,253.85,61.48K,1.38%
2016-12-05,252.14,252.12,253.04,251.52,50.36K,-0.29%
2016-12-02,252.88,253.93,254.22,252.06,55.14K,-0.63%
2016-12-01,254.48,254.84,255.23,254.06,59.35K,0.09%
2016-11-30,254.26,253.2,255,252.86,67.94K,0.53%
2016-11-29,252.91,252.98,253.63,252.32,50.82K,-0.02%
2016-11-28,252.96,252.46,253.63,250.87,45.86K,0.28%
2016-11-25,252.26,252.19,252.84,251.64,44.61K,0.09%
2016-11-24,252.03,253.22,253.71,251.44,53.64K,-0.64%
2016-11-23,253.66,253.09,254.71,252.22,68.30K,0.51%
2016-11-22,252.37,250.85,252.85,250.47,62.53K,1.15%
2016-11-21,249.51,249.7,250.8,248.93,55.39K,-0.28%
2016-11-18,250.21,250.9,251.02,249.23,78.55K,-0.10%
2016-11-17,250.46,249.62,250.86,248.71,67.35K,0.06%
2016-11-16,250.32,250.93,251.54,250.23,79.97K,0.45%
2016-11-15,249.2,250.39,250.93,249.18,87.82K,-0.32%
2016-11-14,250.01,251.59,252.36,250,100.35K,-0.79%
2016-11-11,251.99,252.93,253.88,251.9,101.51K,-1.30%
2016-11-10,255.31,253.8,255.31,252.64,119.32K,2.26%
2016-11-09,249.67,255.83,257.03,246.51,123.18K,-2.19%
2016-11-08,255.26,256.2,256.31,254.1,46.85K,0.26%
2016-11-07,254.6,254.79,255.42,254,49.04K,0.80%
2016-11-04,252.57,252.85,253.29,251.86,44.62K,-0.13%
2016-11-03,252.9,252.44,253.74,251.72,56.22K,0.03%
2016-11-02,252.83,254.27,254.77,252.33,67.05K,-1.23%
2016-11-01,255.99,255.35,256.3,253.51,71.63K,0.02%
2016-10-31,255.93,255.6,256.66,255.21,59.12K,-0.23%
2016-10-28,256.53,256.45,257.3,255.89,53.17K,-0.05%
2016-10-27,256.66,256.25,256.99,255.62,68.40K,0.45%
2016-10-26,255.52,257.73,257.73,254.13,65.63K,-1.18%
2016-10-25,258.57,258.79,258.92,257.82,68.93K,-0.35%
2016-10-24,259.48,257.83,259.48,257.76,53.74K,0.86%
2016-10-21,257.26,258.16,258.39,256.82,52.58K,-0.45%
2016-10-20,258.41,258.55,259.28,257.8,60.71K,0.08%
2016-10-19,258.21,257.25,259.67,257.17,62.06K,0.09%
2016-10-18,257.98,256.17,258.04,255.99,59.07K,0.70%
2016-10-17,256.19,255.9,257.07,253.71,55.16K,0.43%
2016-10-14,255.09,254.7,255.91,254.66,61.59K,0.46%
2016-10-13,253.93,256.19,256.6,253.79,58.49K,-0.89%
2016-10-12,256.2,254.69,256.67,254.56,62.69K,0.02%
2016-10-11,256.15,259.29,260.4,255.93,68.77K,-1.60%
2016-10-10,260.31,258.85,260.71,257.68,74.08K,0.10%
2016-10-07,260.06,261.17,261.53,259.73,62.37K,-0.41%
2016-10-06,261.13,261.6,261.68,259.65,64.94K,0.83%
2016-10-05,258.99,257.51,259.49,256.67,58.01K,-0.07%
2016-10-04,259.18,259.51,259.74,258.55,62.56K,0.66%
2016-09-30,257.49,258.3,258.91,257.29,74.92K,-1.10%
2016-09-29,260.35,259.6,260.95,259.6,65.37K,0.83%
2016-09-28,258.21,259.32,259.46,257.96,59.19K,-0.52%
2016-09-27,259.57,256.16,259.87,255.16,58.68K,0.81%
2016-09-26,257.48,258.07,259.32,256.9,43.88K,-0.34%
2016-09-23,258.37,258.44,259.14,257.71,58.39K,0.01%
2016-09-22,258.34,258.46,259.99,258.13,59.90K,0.71%
2016-09-21,256.52,254.65,256.55,254.56,51.98K,0.56%
2016-09-20,255.09,253.86,255.23,253.33,54.63K,0.46%
2016-09-19,253.93,251.51,254.54,251.38,59.75K,0.86%
2016-09-13,251.77,253.39,253.55,251.66,74.55K,0.49%
2016-09-12,250.53,252.37,253.43,250.53,66.33K,-2.63%
2016-09-09,257.31,258.68,258.94,256.21,70.05K,-1.36%
2016-09-08,260.86,260.72,261.48,259.41,79.38K,0.21%
2016-09-07,260.31,261.15,262.1,260.31,68.75K,-0.24%
2016-09-06,260.93,259.39,261.16,259.26,49.97K,0.50%
2016-09-05,259.64,257.85,259.74,257.63,54.17K,1.22%
2016-09-02,256.5,256.16,256.73,255.57,49.27K,0.18%
2016-09-01,256.03,254.95,256.13,253.86,56.10K,-0.33%
2016-08-31,256.87,257.21,257.49,255.9,66.35K,-0.24%
2016-08-30,257.49,257.27,258.93,257,56.52K,0.39%
2016-08-29,256.49,254.93,256.66,254.45,62.76K,0.10%
2016-08-26,256.23,256.17,256.76,255.02,68.30K,-0.40%
2016-08-25,257.26,256.78,257.76,256,58.80K,-0.02%
2016-08-24,257.3,258.4,258.65,256.54,54.46K,-0.43%
2016-08-23,258.42,257.57,258.63,257.09,65.71K,0.45%
2016-08-22,257.27,258.54,258.63,256.92,62.92K,-0.55%
2016-08-19,258.69,258.42,258.84,257.54,72.80K,0.22%
2016-08-18,258.11,256.62,258.23,255.8,64.01K,0.81%
2016-08-17,256.04,255.82,256.32,254.6,63.81K,-0.04%
2016-08-16,256.15,256.95,258.13,256.12,68.32K,-0.01%
2016-08-12,256.17,256.86,257.88,255.7,74.92K,0.00%
