date,price,open,high,low,volume,q
2016-12-29,"110,770","110,740","110,825","110,740",4.06K,0.04%
2016-12-28,"110,725","110,685","110,740","110,685",0.21K,0.10%
2016-12-27,"110,610","110,655","110,655","110,610",0.10K,-0.04%
2016-12-26,"110,655","110,665","110,665","110,640",0.36K,-0.02%
2016-12-23,"110,675","110,710","110,745","110,675",0.13K,0.03%
2016-12-22,"110,645","110,595","110,645","110,520",1.61K,0.07%
2016-12-21,"110,565","110,480","110,565","110,480",0.09K,0.07%
2016-12-20,"110,485","110,455","110,550","110,455",0.07K,-0.03%
2016-12-19,"110,515","110,520","110,595","110,515",9.30K,-0.06%
2016-12-16,"110,585","110,540","110,585","110,485",7.07K,0.04%
2016-12-15,"110,545","110,455","110,545","110,440",4.26K,-0.09%
2016-12-14,"110,650","110,625","110,695","110,625",0.08K,0.14%
2016-12-13,"110,495","110,370","110,495","110,370",61.55K,0.19%
2016-12-12,"110,280","110,360","110,360","110,270",3.39K,-0.11%
2016-12-09,"110,400","110,395","110,410","110,290",1.14K,-0.01%
2016-12-08,"110,415","110,375","110,415","110,370",0.22K,0.08%
2016-12-07,"110,330","110,355","110,355","110,250",0.42K,-0.51%
2016-12-06,"110,900","110,805","110,955","110,805",0.02K,0.09%
2016-12-05,"110,795","110,780","110,810","110,755",0.31K,0.06%
2016-12-02,"110,730","110,755","110,775","110,710",0.33K,-0.02%
2016-12-01,"110,755","110,690","110,755","110,685",0.01K,-0.10%
2016-11-30,"110,865","110,875","110,955","110,770",3.80K,0.07%
2016-11-29,"110,790","110,730","110,845","110,725",0.17K,0.07%
2016-11-28,"110,710","110,645","110,710","110,645",0.06K,0.10%
2016-11-25,"110,600","110,565","110,600","110,365",0.04K,-0.02%
2016-11-24,"110,625","110,710","110,770","110,520",0.14K,-0.10%
2016-11-23,"110,735","110,810","110,810","110,660",1.46K,-0.04%
2016-11-22,"110,775","110,650","110,975","110,650",0.05K,-0.09%
2016-11-21,"110,880","110,840","110,880","110,725",0.54K,0.04%
2016-11-18,"110,835","111,030","111,030","110,725",7.00K,0.00%
2016-11-17,"110,830","110,910","110,910","110,665",4.11K,-0.11%
2016-11-16,"110,950","111,100","111,100","110,950",0.19K,-0.14%
2016-11-15,"111,100","111,010","111,170","111,010",6.96K,-0.13%
2016-11-14,"111,245","111,490","111,490","111,245",0.07K,-0.26%
2016-11-11,"111,540","111,600","111,645","111,490",5.56K,-0.15%
2016-11-10,"111,710","111,800","111,930","111,565",0.60K,-0.14%
2016-11-09,"111,870","111,750","112,050","111,745",2.21K,0.03%
2016-11-08,"111,840","111,825","111,845","111,765",0.17K,0.02%
2016-11-07,"111,815","111,890","111,890","111,705",0.14K,-0.02%
2016-11-04,"111,840","111,745","111,840","111,730",0.18K,0.00%
2016-11-03,"111,845","111,760","111,875","111,715",0.34K,0.12%
2016-11-02,"111,715","111,570","111,830","111,570",0.46K,-0.02%
2016-11-01,"111,740","111,745","111,745","111,665",0.17K,0.00%
2016-10-31,"111,740","111,725","111,745","111,650",1.60K,0.00%
2016-10-28,"111,735","111,745","111,760","111,675",0.39K,-0.08%
2016-10-27,"111,830","111,755","111,885","111,755",0.20K,-0.04%
